IDCNTRY;Variable;Mean;stdev;TOTWGT;NObs;TOTWGT.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Russian Federation;BSDGSLM;2,14221952450716;,703405846711401;1251617,18881302;4757;36340,6513081284;,0196441726666271;,00601141964149399;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Saudi Arabia;BSDGHER;2,19724015210803;,520678033756211;353935,362175994;3614;11323,0333222802;,017294920128975;,00910353453926154;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Saudi Arabia;BSDGSLM;2,20777149778395;,765279156780242;353935,362175994;3614;11323,0333222802;,0267099288711531;,00729236845835397;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Singapore;BSDGHER;1,99562643784143;,47576776941705;47354,0312199999;6086;69,7461950726213;,00749273760790393;,00584719547868831;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Singapore;BSDGSLM;2,09000532679467;,754756502337357;47354,0312199999;6086;69,7461950726213;,0128688436376034;,00512490317515747;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Slovenia;BSDGHER;1,89650482816867;,395595159331679;16931,1308729999;4218;151,762058910719;,00907102752905574;,00787967213003963;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Slovenia;BSDGSLM;2,61422183397;,587357547360531;16931,1308729999;4218;151,762058910719;,0141274979725623;,00965457905882327;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
South Africa;BSDGHER;2,28019449412756;,509132379586799;841397,787886968;12109;19704,7330416353;,0139925336615349;,00638640805354215;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
South Africa;BSDGSLM;1,79968502310753;,734252716462683;841397,787886968;12109;19704,7330416353;,0203739184228215;,00700689495563525;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Sweden;BSDGHER;1,80459442658121;,473862294471792;95521,1415489993;4027;3216,47630657167;,0126939148786403;,00941102441459556;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Sweden;BSDGSLM;2,38357703952069;,714930128042185;95521,1415489993;4027;3216,47630657167;,0245536998435711;,0142808786729491;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Thailand;BSDGHER;2,33578336844219;,532813012118739;668332,180390999;6445;14555,3715483793;,0142138684442054;,00665335733698877;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Thailand;BSDGSLM;2,032472361454;,650603241239381;668332,180390999;6445;14555,3715483793;,0165829816678302;,00644977338277895;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Turkey;BSDGHER;2,32977900926303;,593822355456352;1176960,91126403;6011;25180,0155231034;,0235524813006251;,00811713152677285;BSDGHER BSDGSLM;TOTWGT;JRR;FULL;LISTWISE;26-FEB-26; 2h34m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
