"";"IDCNTRY";"SGENDER";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"83";"Hong Kong, SAR";"GIRL";"PVCIV";"Percentile";10;90;450,843877106947;12,0827455195111;672,501911349521;8,33283328027565;221,658034242574;12,7332450421952;17,4078197276536;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"84";"Hong Kong, SAR";"GIRL";"PVCIV";"Percentile";50;90;568,402549916813;7,78400578654153;672,501911349521;8,33283328027565;104,099361432708;8,2394278750577;12,6342948820314;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"85";"Indonesia";"BOY";"PVCIV";"Percentile";10;50;339,594256505124;5,23224643849178;419,088314326464;5,50412327645883;79,4940578213405;6,21725360531933;12,7860407291939;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"86";"Indonesia";"BOY";"PVCIV";"Percentile";10;90;339,594256505124;5,23224643849178;513,934399187376;6,13490223946413;174,340142682252;7,843437342522;22,2275177411176;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"87";"Indonesia";"BOY";"PVCIV";"Percentile";50;90;419,088314326464;5,50412327645883;513,934399187376;6,13490223946413;94,8460848609118;6,89840999279795;13,7489776571605;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"88";"Indonesia";"GIRL";"PVCIV";"Percentile";10;50;353,053567882282;7,64353529519438;440,53909183381;4,48095717115714;87,4855239515283;7,57086264965146;11,5555555555556;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"89";"Indonesia";"GIRL";"PVCIV";"Percentile";10;90;353,053567882282;7,64353529519438;533,282159292041;7,11305028254402;180,228591409759;9,04297483152813;19,9302325581396;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"90";"Indonesia";"GIRL";"PVCIV";"Percentile";50;90;440,53909183381;4,48095717115714;533,282159292041;7,11305028254402;92,7430674582307;7,21184737946615;12,8598211496117;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"91";"Ireland";"BOY";"PVCIV";"Percentile";10;50;384,388527182229;9,35783668805904;528,445219265875;9,83034109185132;144,056692083646;8,95944651510452;16,078749043346;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"92";"Ireland";"BOY";"PVCIV";"Percentile";10;90;384,388527182229;9,35783668805904;655,677772128073;8,41206961072388;271,289244945845;11,4513111524741;23,6906709924857;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
